region_name,year,precipitation_anomaly
Diana,2024,213.51
Sava,2024,237.41
Analanjirofo,2024,230.73
Amoron i Mania,2024,94.78
Ihorombe,2024,85.16
Melaky,2024,75.99
Menabe,2024,63.99
Vakinankaratra,2024,93.61
Atsinanana,2024,168.57
Alaotra-Mangoro,2024,210.02
Sofia,2024,207.23
Anosy,2024,133.4
Boeny,2024,120.75
Betsiboka,2024,108.80
Analamanga,2024,100.71
Bongolava,2024,101.74
Itasy,2024,101.74
Atsimo-Andrefana,2024,63.39
Androy,2024,132.9
Atsimo-Atsinanana,2024,136.6
Matsiatra Ambony,2024,80.42
Vatovavy-Fitovinany,2024,162.02
